date,state,district,pincode,demo_age_5_17,demo_age_17_,total_population,youth_ratio,pop_change,shock_score,ml_flag,ml_score,severity,reason,confidence,is_severe,persistence,impact_score,recommended_action,state_avg_youth_ratio,peer_deviation,early_warning,data_trust_score
2025-01-06,Uttar Pradesh,Shahjahanpur,242001,522,9830,10352,0.05042503863987635,0.0,0.06147628960840723,-1,-0.012105322288314069,SEVERE,Ageing population,-0.034,True,0.15384615384615385,1.897,Immediate audit & field verification,0.1148424654950211,-0.064,False,0.42
2025-01-04,Delhi,South Delhi,110062,699,9272,9971,0.07010329956874937,0.0,0.06147628960840723,-1,-0.014802772270193554,SEVERE,Ageing population,-0.041,True,0.16666666666666666,1.892,Immediate audit & field verification,0.10480626661134639,-0.035,False,0.42
2025-01-06,Uttar Pradesh,Rampur,244901,529,8904,9433,0.05607972013145341,0.0,0.06147628960840723,-1,-0.012667777418653547,SEVERE,Ageing population,-0.035,True,0.17777777777777778,1.888,Immediate audit & field verification,0.1148424654950211,-0.059,False,0.41
2025-01-04,Uttar Pradesh,Ghaziabad,201102,524,5709,6233,0.08406866677362426,0.0,0.06147628960840723,-1,-0.0114324088076444,SEVERE,Ageing population,-0.032,True,0.3783783783783784,1.886,Immediate audit & field verification,0.1148424654950211,-0.031,False,0.31
2025-01-07,Uttar Pradesh,Pilibhit,262122,748,7971,8719,0.08578965477692396,0.0,0.06147628960840723,-1,-0.012796197547592758,SEVERE,Ageing population,-0.036,True,0.20930232558139536,1.884,Immediate audit & field verification,0.1148424654950211,-0.029,False,0.4
2025-01-03,Delhi,North West Delhi,110086,1054,9601,10655,0.09892069450961989,0.0,0.06147628960840723,-1,-0.012358564498534008,SEVERE,Ageing population,-0.035,True,0.10869565217391304,1.884,Immediate audit & field verification,0.10480626661134639,-0.006,False,0.45
2025-01-03,Uttar Pradesh,Ghaziabad,201102,451,5728,6179,0.07298915682149215,0.0,0.06147628960840723,-1,-0.012693150846923795,SEVERE,Ageing population,-0.036,True,0.3783783783783784,1.883,Immediate audit & field verification,0.1148424654950211,-0.042,False,0.31
2025-01-03,Uttar Pradesh,Ghaziabad,201102,451,5728,6179,0.07298915682149215,0.0,0.06147628960840723,-1,-0.012693150846923795,SEVERE,Ageing population,-0.036,True,0.3783783783783784,1.883,Immediate audit & field verification,0.1148424654950211,-0.042,False,0.31
2025-01-04,Delhi,West Delhi,110059,1780,14314,16094,0.11060022368584566,706.0,5.106853023116749,-1,-0.11139364032482191,SEVERE,Sudden demographic shock,-0.312,True,0.16,1.876,Immediate audit & field verification,0.10480626661134639,0.006,False,0.42
2025-01-03,Uttar Pradesh,Saharanpur,247001,628,7171,7799,0.0805231439928196,0.0,0.06147628960840723,-1,-0.012951253410866781,SEVERE,Ageing population,-0.036,True,0.24324324324324326,1.875,Immediate audit & field verification,0.1148424654950211,-0.034,False,0.38
2025-01-05,Uttar Pradesh,Saharanpur,247001,707,7033,7740,0.09134366925064599,0.0,0.06147628960840723,-1,-0.012982719461709147,SEVERE,Ageing population,-0.036,True,0.24324324324324326,1.874,Immediate audit & field verification,0.1148424654950211,-0.023,False,0.38
2025-01-06,Delhi,West Delhi,110059,846,8050,8896,0.09509892086330936,0.0,0.06147628960840723,-1,-0.010585327500798658,SEVERE,Ageing population,-0.03,True,0.16,1.871,Immediate audit & field verification,0.10480626661134639,-0.01,False,0.42
2025-01-05,Uttar Pradesh,Moradabad,244001,1184,9688,10872,0.10890360559234731,-572.0,-4.0262793641688885,-1,-0.12673195774645107,SEVERE,Multi-factor deviation,-0.355,True,0.375,1.867,Immediate audit & field verification,0.1148424654950211,-0.006,False,0.31
2025-01-03,Delhi,South Delhi,110062,500,8202,8702,0.05745805561939784,0.0,0.06147628960840723,-1,-0.013431094036180369,SEVERE,Ageing population,-0.038,True,0.16666666666666666,1.866,Immediate audit & field verification,0.10480626661134639,-0.047,False,0.42
2025-01-07,Delhi,North East Delhi,110094,1883,7078,8961,0.21013279767883047,0.0,0.06147628960840723,-1,-0.021311664822348142,SEVERE,Multi-factor deviation,-0.06,True,0.16666666666666666,1.863,Immediate audit & field verification,0.10480626661134639,0.105,False,0.42
2025-01-05,Delhi,North East Delhi,110094,2099,6969,9068,0.23147331274812527,0.0,0.06147628960840723,-1,-0.024683787936810475,SEVERE,Multi-factor deviation,-0.069,True,0.16666666666666666,1.862,Immediate audit & field verification,0.10480626661134639,0.127,False,0.42
2025-01-04,Uttar Pradesh,Saharanpur,247001,753,6540,7293,0.1032496914849856,0.0,0.06147628960840723,-1,-0.012544967958009412,SEVERE,Multi-factor deviation,-0.035,True,0.24324324324324326,1.862,Immediate audit & field verification,0.1148424654950211,-0.012,False,0.38
2025-01-04,Delhi,South Delhi,110044,1333,6949,8282,0.16095146099975852,0.0,0.06147628960840723,-1,-0.013191123988951392,SEVERE,Multi-factor deviation,-0.037,True,0.13953488372093023,1.845,Immediate audit & field verification,0.10480626661134639,0.056,False,0.43
2025-01-07,Punjab,Amritsar,143001,684,7070,7754,0.08821253546556616,0.0,0.06147628960840723,-1,-0.012982719461709147,SEVERE,Ageing population,-0.036,True,0.17073170731707318,1.845,Immediate audit & field verification,0.05613257406568673,0.032,False,0.41
2025-01-04,Uttar Pradesh,Ghaziabad,201102,524,5709,6233,0.08406866677362426,54.0,0.44738329188808207,-1,-0.04930416411590954,SEVERE,Ageing population,-0.138,True,0.3783783783783784,1.844,Immediate audit & field verification,0.1148424654950211,-0.031,False,0.31
2025-01-04,Delhi,East Delhi,110092,1132,6242,7374,0.15351234065636019,0.0,0.06147628960840723,-1,-0.013564432122607495,SEVERE,Multi-factor deviation,-0.038,True,0.19607843137254902,1.844,Immediate audit & field verification,0.10480626661134639,0.049,False,0.4
2025-01-03,Rajasthan,Banswara,327801,223,9080,9303,0.02397076211974632,0.0,0.06147628960840723,-1,-0.011419271717971968,SEVERE,Ageing population,-0.032,True,0.06976744186046512,1.843,Immediate audit & field verification,0.11876048102546506,-0.095,False,0.47
2025-01-03,Rajasthan,Banswara,327801,223,9080,9303,0.02397076211974632,0.0,0.06147628960840723,-1,-0.011419271717971968,SEVERE,Ageing population,-0.032,True,0.06976744186046512,1.843,Immediate audit & field verification,0.11876048102546506,-0.095,False,0.47
2025-01-07,Uttar Pradesh,Kushinagar,274304,1084,7068,8152,0.13297350343473993,0.0,0.06147628960840723,-1,-0.014034746954664334,SEVERE,Multi-factor deviation,-0.039,True,0.1282051282051282,1.837,Immediate audit & field verification,0.1148424654950211,0.018,False,0.44
2025-01-03,Maharashtra,Thane,421302,392,4257,4649,0.08431920843192084,0.0,0.06147628960840723,-1,-0.005122584580452227,SEVERE,Ageing population,-0.014,True,0.37777777777777777,1.834,Immediate audit & field verification,0.06659235764788345,0.018,False,0.31
